iter	Passed	Remaining
781	9412	2623
782	9425	2612
783	9436	2599
784	9446	2587
785	9456	2574
786	9468	2562
787	9480	2550
788	9492	2538
789	9502	2526
790	9517	2514
791	9531	2503
792	9544	2491
793	9555	2479
794	9570	2467
795	9581	2455
796	9591	2442
797	9603	2430
798	9614	2418
799	9628	2407
800	9641	2395
801	9651	2382
802	9662	2370
803	9673	2358
804	9688	2346
805	9699	2334
806	9712	2322
807	9724	2310
808	9737	2298
809	9749	2286
810	9761	2274
811	9770	2262
812	9778	2249
813	9791	2237
814	9811	2227
815	9829	2216
816	9844	2205
817	9857	2193
818	9869	2181
819	9880	2168
820	9892	2156
821	9905	2144
822	9914	2132
823	9924	2119
824	9933	2107
825	9948	2095
826	9960	2083
827	9974	2071
828	9986	2059
829	9996	2047
830	10010	2035
831	10020	2023
832	10030	2011
833	10043	1999
834	10054	1986
835	10066	1974
836	10076	1962
837	10089	1950
838	10099	1938
839	10111	1926
840	10123	1913
841	10136	1902
842	10146	1889
843	10159	1877
844	10169	1865
845	10180	1853
846	10195	1841
847	10207	1829
848	10218	1817
849	10230	1805
850	10242	1793
851	10253	1781
852	10264	1768
853	10276	1756
854	10285	1744
855	10297	1732
856	10307	1719
857	10320	1707
858	10334	1696
859	10348	1684
860	10358	1672
861	10370	1660
862	10381	1648
863	10392	1635
864	10404	1623
865	10417	1611
866	10429	1599
867	10439	1587
868	10450	1575
869	10464	1563
870	10476	1551
871	10490	1539
872	10501	1527
873	10514	1515
874	10528	1504
875	10541	1492
876	10552	1479
877	10564	1468
878	10579	1456
879	10592	1444
880	10603	1432
881	10614	1420
882	10628	1408
883	10642	1396
884	10655	1384
885	10669	1372
886	10681	1360
887	10691	1348
888	10703	1336
889	10713	1324
890	10725	1312
891	10738	1300
892	10753	1288
893	10764	1276
894	10777	1264
895	10789	1252
896	10800	1240
897	10813	1228
898	10827	1216
899	10841	1204
900	10852	1192
901	10865	1180
902	10877	1168
903	10890	1156
904	10902	1144
905	10912	1132
906	10924	1120
907	10938	1108
908	10952	1096
909	10962	1084
910	10976	1072
911	10990	1060
912	11002	1048
913	11016	1036
914	11030	1024
915	11043	1012
916	11056	1000
917	11069	988
918	11083	976
919	11092	964
920	11103	952
921	11114	940
922	11122	927
923	11133	915
924	11144	903
925	11153	891
926	11167	879
927	11180	867
928	11191	855
929	11206	843
930	11218	831
931	11233	819
932	11246	807
933	11257	795
934	11272	783
935	11283	771
936	11293	759
937	11303	747
938	11317	735
939	11329	723
940	11343	711
941	11354	699
